Area;BHK;Bathroom;Furnishing;Locality;Parking;Price;Status;Transaction;Type;Per_Sqft;city
750;2;2;Semi-Furnished;J R Designers Floors, Rohini Sector 24;1;5000000;Ready_to_move;New_Property;Apartment;6667;Seattle
950;2;2;Furnished;Citizen Apartment, Rohini Sector 13;1;15500000;Ready_to_move;Resale;Apartment;6667;Kent
600;2;2;Semi-Furnished;Rohini Sector 24;1;4200000;Ready_to_move;Resale;Builder_Floor;6667;Bellevue
650;2;2;Semi-Furnished;Rohini Sector 24 carpet area 650 sqft status Ready to Move floor 4 out of 4 floors transaction New Property furnishing Semi-Furnished facing East overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property East Facing Property 2BHK Newly build property for Sale. A House is waiting for a Friendly Family to make it a lovely home.So please come and make his house feel alive once again. read more Contact Agent View Phone No. Share Feedback Garima properties Certified Agent Trusted by Users Genuine Listings Market Knowledge;1;6200000;Ready_to_move;New_Property;Builder_Floor;6667;Redmond
1300;4;3;Semi-Furnished;Rohini Sector 24;1;15500000;Ready_to_move;New_Property;Builder_Floor;6667;Seattle
1350;4;3;Semi-Furnished;Rohini Sector 24;1;10000000;Ready_to_move;Resale;Builder_Floor;6667;Redmond
650;2;2;Semi-Furnished;Delhi Homes, Rohini Sector 24;1;4000000;Ready_to_move;New_Property;Apartment;6154;Maple Valley
985;3;3;Unfurnished;Rohini Sector 21;1;6800000;Almost_ready;New_Property;Builder_Floor;6154;North Bend
1300;4;4;Semi-Furnished;Rohini Sector 22;1;15000000;Ready_to_move;New_Property;Builder_Floor;6154;Seattle
1100;3;2;Semi-Furnished;Rohini Sector 20;1;6200000;Ready_to_move;New_Property;Builder_Floor;6154;Lake Forest Park
870;3;2;Semi-Furnished;Rohini Sector 25;1;7700000;Ready_to_move;New_Property;Builder_Floor;6154;Seattle
630;2;2;Semi-Furnished;Rohini Sector 24;1;5500000;Ready_to_move;New_Property;Builder_Floor;6154;Sammamish
660;2;2;Semi-Furnished;Rohini Sector 24;1;5000000;Ready_to_move;Resale;Builder_Floor;6154;Seattle
344.4448;2;2;Semi-Furnished;Rohini Sector 8 How Auctions work? The borrower has the physical possession of the Property. However the lender (Bank) can legally sell the Property. super area 32 sqm status Ready to Move floor 1 transaction Resale furnishing Semi-Furnished Contact Now Enquire Now Auction By;1;3310000;Ready_to_move;Resale;Builder_Floor;6154;Seattle
660;2;2;Semi-Furnished;Rohini Sector 25 carpet area 660 sqft status Ready to Move floor 2 out of 4 floors transaction New Property furnishing Semi-Furnished facing North overlooking Garden/Park, Main Road car parking 1 Open bathroom 2 balcony 1 ownership Freehold Newly Constructed Property Newly Constructed Property Near by Ryan international school 2BHK Located on the Ground Floor of a four story building with open parking the flat measure 720 Sq Ft the property is located in a green and plush sector with common parks opposite every lane and bus and auto stand nearby. its situated 1.5 km from the metro station and walkable distance from shopping distance from shopping complex. read more Contact Agent View Phone No. Share Feedback Know your Certified Agent CRISIL Rating No of Employees 9 Kulwant & Company Certified Agent Trusted by Users Genuine Listings 5500+ Buyers Served;1;4700000;Ready_to_move;New_Property;Builder_Floor;6154;Kent
550;2;2;Semi-Furnished;Rohini Sector 22;1;4500000;Ready_to_move;New_Property;Builder_Floor;6154;Bellevue
1100;4;3;Semi-Furnished;Rohini Sector 16;1;17000000;Ready_to_move;New_Property;Builder_Floor;6154;Auburn
1150;3;3;Semi-Furnished;Rohini Sector 14;1;25000000;Ready_to_move;Resale;Apartment;6154;Des Moines
650;2;2;Semi-Furnished;Rohini Sector 24;1;6000000;Ready_to_move;Resale;Builder_Floor;6154;North Bend
850;2;2;Semi-Furnished;Mayur Apartment, Rohini Sector 9;1;11000000;Ready_to_move;Resale;Apartment;6154;Seattle
900;3;2;Semi-Furnished;Vijay Vihar, Rohini;5;4500000;Ready_to_move;Resale;Builder_Floor;6154;Bellevue
430.556;1;1;Furnished;Rohini Sector 18 carpet area 40 sqm status Ready to Move floor 2 out of 4 floors transaction Resale furnishing Furnished facing East overlooking Main Road car parking 2 Open bathroom 1 balcony 1 ownership Freehold East Facing Property It an LIG three side corner flat in second floor, having full scope of expansion. interior decorated with 2 textured wall , kajaria tiles , fully modular kitchen, branded bathroom and toilet fittings, LED panel, ac in one bedroom, false ceiling in entire flat.south facing unobstructed view balcony. It was all renovated only 2.5 yrs back so every thing is in brand new condition. read more Contact Owner View Phone No. Share Feedback Owner Pramod;2;5300000;Ready_to_move;Resale;Apartment;6154;Seattle
900;2;2;Semi-Furnished;Prashant Vihar, Rohini;1;10500000;Ready_to_move;Resale;Apartment;6154;Bothell
